user_id,num_orders,total_spent_eur,avg_days_between_orders,R_score,F_score,M_score,segment,avg_order_value,recommended_discount
53,4,75.25,15.333333333333334,3,1,2,New,18.8125,0.0
54,78,1831.14,4.727272727272728,5,5,5,Premium,23.476153846153846,0.0
55,8,267.19,19.428571428571427,2,2,4,High_Check,33.39875,0.0
56,13,399.39,7.0,5,3,4,Loyal,30.72230769230769,0.0
57,15,134.63,8.071428571428571,5,4,3,Loyal,8.975333333333333,0.0
58,16,65.05,9.133333333333333,4,4,2,Frugal,4.065625,6.4
59,11,240.76,16.1,3,3,3,Loyal,21.887272727272727,0.0
60,9,179.75,25.5,1,3,3,Sleeping,19.97222222222222,0.0
61,5,73.18,22.75,1,1,2,Lost,14.636000000000001,15.0
62,11,354.9,16.8,3,3,4,Loyal,32.26363636363636,0.0
63,40,1611.33,9.23076923076923,4,5,5,Premium,40.283249999999995,0.0
64,11,454.54,11.7,4,3,4,Loyal,41.32181818181818,0.0
65,15,403.15,14.0,3,4,4,Loyal,26.876666666666665,0.0
66,7,9.42,28.83333333333333,1,2,1,Lost,1.3457142857142856,15.0
67,25,196.98,7.458333333333333,5,5,3,Loyal,7.8792,1.6
68,7,271.29,28.5,1,2,4,High_Check,38.75571428571429,0.0
69,6,24.17,11.2,4,2,1,New,4.028333333333333,0.0
70,14,200.66,19.923076923076923,2,4,3,Sleeping,14.332857142857142,0.0
71,24,979.38,14.391304347826088,3,4,5,Loyal,40.8075,1.6
72,13,209.79,16.5,3,3,3,Loyal,16.13769230769231,0.0
73,8,49.62,23.285714285714285,1,2,1,Lost,6.2025,15.0
74,6,90.03999999999999,16.0,3,2,2,Promising,15.006666666666666,22.9
75,24,788.15,8.73913043478261,5,4,5,Premium,32.83958333333333,0.0
76,10,25.95,21.11111111111111,2,3,1,Sleeping,2.5949999999999998,0.0
77,13,611.34,14.666666666666666,3,3,5,Loyal,47.026153846153846,0.0
78,7,32.32,14.833333333333334,3,2,1,New,4.617142857142857,0.0
79,8,349.94,19.857142857142858,2,2,4,High_Check,43.7425,0.0
80,13,596.1800000000001,9.333333333333334,4,3,5,Loyal,45.86000000000001,0.0
81,8,98.93,21.0,2,2,2,Lost,12.36625,15.0
82,20,451.7,11.263157894736842,4,4,4,Premium,22.585,0.0
83,7,49.44,20.0,2,2,1,Lost,7.062857142857142,15.0
84,9,237.84,21.625,2,3,3,Sleeping,26.426666666666666,0.0
85,8,116.94,16.428571428571427,3,2,2,Promising,14.6175,22.9
86,18,852.4,19.41176470588235,2,4,5,Sleeping,47.355555555555554,10.0
87,28,499.67,10.22222222222222,4,5,4,Premium,17.845357142857143,0.0
88,8,11.88,18.285714285714285,2,2,1,Lost,1.485,15.0
89,21,651.5699999999999,9.2,4,4,5,Premium,31.027142857142856,0.0
90,72,789.83,3.4507042253521125,5,5,5,Premium,10.969861111111111,0.0
91,16,656.49,10.066666666666666,4,4,5,Premium,41.030625,0.0
92,6,68.58,24.0,1,2,2,Lost,11.43,15.0
93,15,31.64,12.714285714285714,4,4,1,Frugal,2.1093333333333333,6.4
94,10,85.92999999999999,16.333333333333332,3,3,2,Promising,8.593,22.9
95,9,345.42,21.125,2,3,4,Sleeping,38.38,0.0
96,17,423.23,12.625,4,4,4,Premium,24.89588235294118,0.0
97,6,41.81,20.4,2,2,1,Lost,6.968333333333334,15.0
98,15,167.66,21.0,2,4,3,Sleeping,11.177333333333333,10.0
99,19,560.25,17.944444444444443,2,4,5,Sleeping,29.486842105263158,10.0
100,6,70.6,26.8,1,2,2,Lost,11.766666666666666,15.0
101,21,487.69,14.55,3,4,4,Loyal,23.223333333333333,1.6
102,7,231.42,25.83333333333333,1,2,3,Lost,33.059999999999995,15.0
103,18,259.18,12.352941176470589,4,4,4,Premium,14.398888888888889,0.0
104,6,32.0,17.2,2,2,1,Lost,5.333333333333333,15.0
105,8,19.39,21.571428571428573,2,2,1,Lost,2.42375,15.0
106,4,98.58,9.333333333333334,4,1,2,New,24.645,0.0
107,16,154.76,16.133333333333333,3,4,3,Loyal,9.6725,0.0
108,8,216.1,19.857142857142858,2,2,3,Lost,27.0125,15.0
109,7,87.55,20.166666666666668,2,2,2,Lost,12.507142857142856,15.0
110,21,1139.34,15.75,3,4,5,Loyal,54.25428571428571,1.6
111,8,102.81,17.714285714285715,2,2,2,Lost,12.85125,15.0
112,27,363.34,7.923076923076923,5,5,4,Premium,13.457037037037036,0.0
113,6,0.0,16.2,3,2,1,New,0.0,0.0
114,5,288.06,6.75,5,1,4,High_Check,57.612,0.0
115,13,134.95,16.333333333333332,3,3,3,Loyal,10.38076923076923,0.0
116,7,41.21,12.5,4,2,1,New,5.887142857142857,0.0
117,12,13.72,19.454545454545453,2,3,1,Sleeping,1.1433333333333333,0.0
118,28,472.82,13.296296296296296,3,5,4,Loyal,16.88642857142857,1.6
119,4,70.15,18.33333333333333,2,1,2,Lost,17.5375,15.0
120,4,25.12,21.33333333333333,2,1,1,Lost,6.28,15.0
121,11,169.23,20.5,2,3,3,Sleeping,15.384545454545453,0.0
122,30,47.83,8.689655172413794,5,5,1,Frugal,1.5943333333333334,6.4
123,11,147.53,20.4,2,3,3,Sleeping,13.411818181818182,0.0
124,9,345.88,15.875,3,3,4,Loyal,38.43111111111111,0.0
125,14,70.33,11.76923076923077,4,4,2,Frugal,5.023571428571429,0.0
126,11,327.52,24.1,1,3,4,Sleeping,29.774545454545454,0.0
127,18,39.54,13.058823529411764,3,4,1,Frugal,2.1966666666666668,6.4
128,12,201.6,16.363636363636363,3,3,3,Loyal,16.8,0.0
129,12,168.04000000000002,9.545454545454543,4,3,3,Loyal,14.003333333333336,0.0
130,4,113.42,24.0,1,1,2,Lost,28.355,15.0
131,10,63.87,19.33333333333333,2,3,2,Sleeping,6.387,0.0
132,25,249.54,3.4166666666666665,5,5,4,Premium,9.9816,0.0
133,21,238.16,6.65,5,4,3,Loyal,11.34095238095238,1.6
134,7,144.36,22.166666666666668,1,2,3,Lost,20.622857142857146,15.0
135,5,81.34,13.25,3,1,2,New,16.268,0.0
136,5,129.02,15.75,3,1,3,New,25.804000000000002,0.0
137,7,186.27,22.166666666666668,1,2,3,Lost,26.610000000000003,15.0
138,33,324.4,11.125,4,5,4,Premium,9.83030303030303,0.0
139,5,30.0,12.5,4,1,1,New,6.0,0.0
140,77,2866.88,4.802631578947368,5,5,5,Premium,37.232207792207795,0.0
141,5,173.17000000000002,7.75,5,1,3,New,34.634,0.0
142,46,1124.45,7.155555555555556,5,5,5,Premium,24.444565217391304,0.0
143,15,386.54,8.0,5,4,4,Premium,25.769333333333336,0.0
144,8,83.66,7.285714285714286,5,2,2,Promising,10.4575,22.9
145,9,91.22,7.0,5,3,2,Promising,10.135555555555555,22.9
146,41,471.58,9.075,4,5,4,Premium,11.501951219512195,0.0
147,14,144.71,17.0,3,4,3,Loyal,10.336428571428572,0.0
148,8,88.86,9.857142857142858,4,2,2,Promising,11.1075,22.9
149,16,547.53,16.933333333333334,3,4,4,Loyal,34.220625,0.0
150,32,307.23,10.483870967741936,4,5,4,Premium,9.6009375,0.0
151,12,445.84,6.636363636363637,5,3,4,Loyal,37.15333333333333,0.0
152,66,1474.01,5.569230769230769,5,5,5,Premium,22.333484848484847,0.0
153,20,746.0799999999999,11.052631578947368,4,4,5,Premium,37.303999999999995,0.0
154,36,595.32,9.542857142857144,4,5,5,Premium,16.53666666666667,0.0
155,23,532.34,15.318181818181818,3,4,4,Loyal,23.14521739130435,1.6
156,4,15.91,9.333333333333334,4,1,1,New,3.9775,0.0
157,5,94.58,5.0,5,1,2,New,18.916,0.0
158,6,71.13,17.4,2,2,2,Lost,11.854999999999999,15.0
159,5,158.47,24.0,1,1,3,Lost,31.694,15.0
160,13,302.38,14.5,3,3,4,Loyal,23.259999999999998,0.0
161,21,715.63,16.65,3,4,5,Loyal,34.077619047619045,1.6
162,15,163.93,5.5,5,4,3,Loyal,10.928666666666667,0.0
163,12,158.84,9.090909090909092,4,3,3,Loyal,13.236666666666666,0.0
164,11,325.94,17.3,2,3,4,Sleeping,29.63090909090909,0.0
165,8,205.85,22.285714285714285,1,2,3,Lost,25.73125,15.0
166,7,75.68,22.83333333333333,1,2,2,Lost,10.811428571428573,15.0
167,6,27.87,17.4,2,2,1,Lost,4.6450000000000005,15.0
168,23,218.65,8.681818181818182,5,4,3,Loyal,9.506521739130434,1.6
169,7,151.63,19.83333333333333,2,2,3,Lost,21.66142857142857,15.0
170,4,1.95,30.0,1,1,1,Lost,0.4875,15.0
171,7,60.49,10.333333333333334,4,2,2,Promising,8.641428571428571,22.9
172,7,75.82000000000001,12.166666666666666,4,2,2,Promising,10.831428571428573,22.9
173,45,1509.51,6.045454545454546,5,5,5,Premium,33.544666666666664,0.0
174,28,532.58,11.185185185185183,4,5,4,Premium,19.020714285714288,0.0
175,24,217.74,5.260869565217392,5,4,3,Loyal,9.0725,1.6
176,7,67.98,23.0,1,2,2,Lost,9.711428571428572,15.0
177,15,91.71,6.571428571428571,5,4,2,Frugal,6.114,0.0
178,6,119.49,13.8,3,2,2,Promising,19.915,22.9
179,6,165.74,19.0,2,2,3,Lost,27.623333333333335,15.0
180,7,674.03,25.166666666666668,1,2,5,High_Check,96.28999999999999,0.0
181,11,166.64999999999998,21.2,2,3,3,Sleeping,15.149999999999999,0.0
182,27,488.45,12.5,4,5,4,Premium,18.090740740740742,0.0
183,5,174.19,15.25,3,1,3,New,34.838,0.0
184,12,252.46,23.545454545454547,1,3,4,Sleeping,21.038333333333334,0.0
185,7,65.44,29.166666666666668,1,2,2,Lost,9.348571428571429,15.0
186,8,46.79,12.714285714285714,4,2,1,New,5.84875,0.0
187,33,143.71,6.875,5,5,3,Loyal,4.354848484848485,1.6
188,6,155.28,7.0,5,2,3,Promising,25.88,22.9
189,12,148.16000000000005,14.818181818181818,3,3,3,Loyal,12.346666666666671,0.0
190,18,350.9,14.647058823529411,3,4,4,Loyal,19.494444444444444,0.0
191,5,39.33,4.75,5,1,1,New,7.866,0.0
192,6,121.21,29.8,1,2,2,Lost,20.201666666666664,15.0
193,6,96.82,18.4,2,2,2,Lost,16.136666666666667,15.0
194,10,160.74,16.0,3,3,3,Loyal,16.074,0.0
195,59,1421.35,5.482758620689655,5,5,5,Premium,24.090677966101694,0.0
196,4,5.92,22.0,2,1,1,Lost,1.48,15.0
197,21,1540.25,3.6,5,4,5,Premium,73.3452380952381,0.0
198,6,139.33,14.8,3,2,3,Promising,23.221666666666668,22.9
199,4,58.55,15.666666666666666,3,1,1,New,14.6375,0.0
200,10,490.35,22.0,2,3,4,Sleeping,49.035000000000004,0.0
201,8,179.98,9.857142857142858,4,2,3,Promising,22.4975,22.9
202,14,925.14,19.307692307692307,2,4,5,Sleeping,66.08142857142857,0.0
203,4,18.96,20.0,2,1,1,Lost,4.74,15.0
204,59,1154.75,6.293103448275862,5,5,5,Premium,19.572033898305083,0.0
205,13,110.84,14.333333333333334,3,3,2,Promising,8.526153846153846,3.6
206,29,634.43,12.392857142857142,4,5,5,Premium,21.876896551724137,0.0
207,4,72.5,24.666666666666668,1,1,2,Lost,18.125,15.0
208,19,225.82,9.666666666666666,4,4,3,Loyal,11.885263157894736,0.0
209,20,492.64,12.68421052631579,4,4,4,Premium,24.631999999999998,0.0
210,100,3818.0,3.333333333333333,5,5,5,Premium,38.18,0.0
211,5,98.43,7.25,5,1,2,New,19.686,0.0
212,13,49.33,14.833333333333334,3,3,1,New,3.7946153846153843,0.0
213,6,74.03,17.0,3,2,2,Promising,12.338333333333333,22.9
214,28,1336.44,11.666666666666666,4,5,5,Premium,47.730000000000004,0.0
215,6,63.96,26.2,1,2,2,Lost,10.66,15.0
216,18,737.3199999999999,14.705882352941176,3,4,5,Loyal,40.962222222222216,0.0
217,12,162.57,18.727272727272727,2,3,3,Sleeping,13.5475,0.0
218,7,0.0,14.333333333333334,3,2,1,New,0.0,0.0
219,34,369.46,10.272727272727272,4,5,4,Premium,10.866470588235293,0.0
220,17,473.78,18.1875,2,4,4,Sleeping,27.86941176470588,10.0
221,24,541.26,11.608695652173912,4,4,4,Premium,22.5525,0.0
222,71,774.4300000000001,5.214285714285714,5,5,5,Premium,10.907464788732396,0.0
223,50,2499.83,7.428571428571429,5,5,5,Premium,49.9966,0.0
224,4,44.55,17.666666666666668,2,1,1,Lost,11.1375,15.0
225,12,114.04,15.454545454545457,3,3,2,Promising,9.503333333333334,3.6
226,22,291.35,14.19047619047619,3,4,4,Loyal,13.243181818181819,1.6
227,32,1353.1,8.741935483870968,5,5,5,Premium,42.284375,0.0
228,5,67.77,8.0,5,1,2,New,13.553999999999998,0.0
229,18,594.31,13.764705882352942,3,4,5,Loyal,33.017222222222216,0.0
230,11,57.92,21.3,2,3,1,Sleeping,5.265454545454546,0.0
231,4,179.20999999999998,15.666666666666666,3,1,3,New,44.802499999999995,0.0
232,37,1198.75,7.833333333333333,5,5,5,Premium,32.398648648648646,0.0
233,26,956.85,8.4,5,5,5,Premium,36.801923076923075,0.0
234,43,661.84,8.69047619047619,5,5,5,Premium,15.391627906976744,0.0
235,22,425.92,11.38095238095238,4,4,4,Premium,19.36,0.0
236,46,850.88,5.933333333333334,5,5,5,Premium,18.497391304347826,0.0
237,9,84.33,8.625,5,3,2,Promising,9.37,22.9
238,7,233.76,14.833333333333334,3,2,3,Promising,33.394285714285715,22.9
239,6,121.82,19.4,2,2,2,Lost,20.30333333333333,15.0
240,6,31.88,23.0,1,2,1,Lost,5.3133333333333335,15.0
241,15,72.02,11.928571428571429,4,4,2,Frugal,4.801333333333333,6.4
242,17,158.44,12.375,4,4,3,Loyal,9.32,0.0
243,28,1379.62,12.25925925925926,4,5,5,Premium,49.27214285714285,0.0
244,8,83.07,15.142857142857142,3,2,2,Promising,10.38375,22.9
245,6,130.45,28.0,1,2,3,Lost,21.741666666666664,15.0
246,6,75.85,13.6,3,2,2,Promising,12.641666666666666,22.9
247,6,58.7,21.8,2,2,1,Lost,9.783333333333333,15.0
248,59,1197.72,6.172413793103448,5,5,5,Premium,20.30033898305085,0.0
249,10,111.66,7.111111111111111,5,3,2,Promising,11.166,22.9
250,12,382.14,18.454545454545453,2,3,4,Sleeping,31.845,0.0
251,11,132.4,15.5,3,3,3,Loyal,12.036363636363637,0.0
252,5,81.95000000000002,26.0,1,1,2,Lost,16.390000000000004,15.0
253,4,25.86,12.0,4,1,1,New,6.465,0.0
254,12,37.11,4.454545454545454,5,3,1,New,3.0925,0.0
255,5,291.67,19.25,2,1,4,High_Check,58.334,0.0
256,19,187.22,18.11111111111111,2,4,3,Sleeping,9.853684210526316,10.0
257,21,218.99,4.5,5,4,3,Loyal,10.428095238095239,1.6
258,25,535.67,8.708333333333334,5,5,4,Premium,21.4268,0.0
259,4,51.35,13.0,3,1,1,New,12.8375,0.0
260,18,584.36,10.588235294117649,4,4,5,Premium,32.464444444444446,0.0
261,9,22.2,3.75,5,3,1,New,2.466666666666667,0.0
262,46,224.37,7.288888888888889,5,5,3,Loyal,4.877608695652174,1.6
263,4,52.69,8.666666666666666,5,1,1,New,13.1725,0.0
264,30,2580.35,11.482758620689657,4,5,5,Premium,86.01166666666667,0.0
265,8,128.36,17.571428571428573,2,2,3,Lost,16.045,15.0
266,6,52.88,13.4,3,2,1,New,8.813333333333334,0.0
267,10,414.71,23.666666666666668,1,3,4,Sleeping,41.471,0.0
268,10,55.1,22.11111111111111,1,3,1,Sleeping,5.51,0.0
269,4,129.72,30.0,1,1,3,Lost,32.43,15.0
270,23,210.19,12.227272727272728,4,4,3,Loyal,9.138695652173913,1.6
271,16,0.0,19.0,2,4,1,Frugal,0.0,6.4
272,10,59.07,15.11111111111111,3,3,2,Promising,5.907,22.9
273,20,266.48,14.421052631578949,3,4,4,Loyal,13.324000000000002,1.6
274,15,83.36999999999999,18.714285714285715,2,4,2,Frugal,5.557999999999999,0.0
275,15,453.5,11.071428571428571,4,4,4,Premium,30.233333333333334,0.0
276,10,155.82,15.11111111111111,3,3,3,Loyal,15.581999999999999,0.0
277,4,109.84,12.666666666666666,4,1,2,New,27.46,0.0
278,69,1067.96,2.838235294117647,5,5,5,Premium,15.47768115942029,0.0
279,15,324.63,19.0,2,4,4,Sleeping,21.642,10.0
280,42,1767.97,8.609756097560975,5,5,5,Premium,42.09452380952381,0.0
281,31,1064.48,9.733333333333333,4,5,5,Premium,34.33806451612903,0.0
282,4,32.11,18.0,2,1,1,Lost,8.0275,15.0
283,6,69.96000000000001,20.6,2,2,2,Lost,11.660000000000002,15.0
284,17,621.85,18.5,2,4,5,Sleeping,36.57941176470588,10.0
285,5,113.68,21.75,2,1,2,Lost,22.736,15.0
286,4,24.21,12.666666666666666,4,1,1,New,6.0525,0.0
287,15,0.0,5.928571428571429,5,4,1,Frugal,0.0,6.4
288,4,40.07,26.666666666666668,1,1,1,Lost,10.0175,15.0
289,50,2349.36,7.020408163265306,5,5,5,Premium,46.9872,0.0
290,52,789.32,7.137254901960785,5,5,5,Premium,15.17923076923077,0.0
291,5,49.77,12.75,4,1,1,New,9.954,0.0
292,9,143.4,20.375,2,3,3,Sleeping,15.933333333333334,0.0
293,9,228.31,20.625,2,3,3,Sleeping,25.36777777777778,0.0
294,16,273.58,12.8,4,4,4,Premium,17.09875,0.0
295,24,661.29,5.391304347826087,5,4,5,Premium,27.553749999999997,0.0
296,7,87.35000000000001,6.333333333333333,5,2,2,Promising,12.47857142857143,22.9
297,12,137.29000000000002,23.727272727272727,1,3,3,Sleeping,11.440833333333336,0.0
298,4,55.97,18.33333333333333,2,1,1,Lost,13.9925,15.0
299,10,284.61,19.0,2,3,4,Sleeping,28.461000000000002,0.0
300,39,558.22,6.157894736842105,5,5,5,Premium,14.313333333333334,0.0
301,19,96.4,13.444444444444445,3,4,2,Frugal,5.0736842105263165,0.0
302,11,112.31,12.7,4,3,2,Promising,10.21,3.6
303,9,16.34,14.375,3,3,1,New,1.8155555555555556,0.0
304,43,185.18,8.071428571428571,5,5,3,Loyal,4.306511627906977,1.6
305,5,106.21,30.0,1,1,2,Lost,21.241999999999997,15.0
306,25,365.89,14.208333333333334,3,5,4,Loyal,14.6356,1.6
307,35,388.23,10.617647058823527,4,5,4,Premium,11.092285714285715,0.0
308,4,36.04,11.666666666666666,4,1,1,New,9.01,0.0
309,26,617.8,1.0,5,5,5,Premium,23.76153846153846,0.0
310,100,286.15,3.333333333333333,5,5,4,Premium,2.8615,0.0
311,16,166.5,8.8,4,4,3,Loyal,10.40625,0.0
312,5,17.71,19.25,2,1,1,Lost,3.5420000000000003,15.0
313,100,2442.46,1.7272727272727273,5,5,5,Premium,24.4246,0.0
314,6,3.55,25.8,1,2,1,Lost,0.5916666666666667,15.0
315,5,102.9,14.75,3,1,2,New,20.580000000000002,0.0
316,22,448.37,11.095238095238097,4,4,4,Premium,20.380454545454544,0.0
317,5,64.37,14.75,3,1,2,New,12.874,0.0
318,8,7.979999999999999,15.571428571428571,3,2,1,New,0.9974999999999998,0.0
319,9,218.22,3.875,5,3,3,Loyal,24.246666666666666,0.0
320,6,301.46,15.0,3,2,4,High_Check,50.24333333333333,0.0
321,34,1520.82,11.030303030303031,4,5,5,Premium,44.73,0.0
322,15,489.07,17.928571428571427,2,4,4,Sleeping,32.60466666666667,10.0
323,72,2965.28,2.4507042253521125,5,5,5,Premium,41.184444444444445,0.0
324,12,317.67,18.363636363636363,2,3,4,Sleeping,26.4725,0.0
325,8,239.57,17.285714285714285,2,2,3,Lost,29.94625,15.0
326,6,263.9,14.4,3,2,4,High_Check,43.98333333333333,0.0
327,64,2238.86,5.507936507936508,5,5,5,Premium,34.9821875,0.0
328,13,344.45,15.583333333333334,3,3,4,Loyal,26.496153846153845,0.0
329,9,69.0,18.375,2,3,2,Sleeping,7.666666666666667,0.0
330,8,26.98,25.142857142857142,1,2,1,Lost,3.3725,15.0
331,9,32.74,25.375,1,3,1,Sleeping,3.637777777777778,0.0
332,13,553.27,8.916666666666666,4,3,5,Loyal,42.559230769230766,0.0
333,9,52.81,19.5,2,3,1,Sleeping,5.867777777777778,0.0
334,64,1950.86,5.666666666666667,5,5,5,Premium,30.4821875,0.0
335,7,48.76,17.0,3,2,1,New,6.965714285714285,0.0
336,12,15.17,4.363636363636363,5,3,1,New,1.2641666666666667,0.0
337,13,415.5,21.33333333333333,2,3,4,Sleeping,31.96153846153846,0.0
338,6,14.46,26.2,1,2,1,Lost,2.41,15.0
339,4,46.22,13.666666666666666,3,1,1,New,11.555,0.0
340,6,176.8,10.0,4,2,3,Promising,29.46666666666667,22.9
341,12,465.29,17.454545454545453,2,3,4,Sleeping,38.774166666666666,0.0
342,17,146.72,17.4375,2,4,3,Sleeping,8.630588235294118,10.0
343,5,113.77,25.0,1,1,2,Lost,22.753999999999998,15.0
344,10,8.350000000000001,16.0,3,3,1,New,0.8350000000000002,0.0
345,4,12.2,26.33333333333333,1,1,1,Lost,3.05,15.0
346,7,108.62,24.33333333333333,1,2,2,Lost,15.517142857142858,15.0
347,4,71.94,9.666666666666666,4,1,2,New,17.985,0.0
348,29,179.13,10.857142857142858,4,5,3,Loyal,6.176896551724138,1.6
349,8,70.45,14.285714285714286,3,2,2,Promising,8.80625,22.9
350,15,512.83,8.0,5,4,4,Premium,34.18866666666667,0.0
351,15,573.84,13.285714285714286,3,4,5,Loyal,38.256,0.0
352,11,649.52,22.8,1,3,5,Sleeping,59.04727272727273,0.0
353,12,82.76,14.909090909090908,3,3,2,Promising,6.896666666666667,3.6
354,6,1.75,25.2,1,2,1,Lost,0.2916666666666667,15.0
355,14,573.42,16.0,3,4,5,Loyal,40.958571428571425,0.0
356,4,56.15,16.0,3,1,1,New,14.0375,0.0
357,9,473.23,13.0,3,3,4,Loyal,52.58111111111111,0.0
358,8,138.14,24.714285714285715,1,2,3,Lost,17.2675,15.0
359,16,435.49,17.733333333333334,2,4,4,Sleeping,27.218125,10.0
360,4,20.23,3.6666666666666665,5,1,1,New,5.0575,0.0
361,7,210.74,15.666666666666666,3,2,3,Promising,30.10571428571429,22.9
362,12,341.46,10.818181818181818,4,3,4,Loyal,28.455,0.0
363,13,576.93,9.916666666666666,4,3,5,Loyal,44.379230769230766,0.0
364,19,682.1899999999999,14.27777777777778,3,4,5,Loyal,35.90473684210526,0.0
365,16,75.03,9.866666666666667,4,4,2,Frugal,4.689375,6.4
366,4,132.6,12.666666666666666,4,1,3,New,33.15,0.0
367,5,203.3,23.25,1,1,3,Lost,40.660000000000004,15.0
368,5,18.99,21.5,2,1,1,Lost,3.7979999999999996,15.0
369,17,408.85,15.5,3,4,4,Loyal,24.05,0.0
370,28,313.15,9.703703703703704,4,5,4,Premium,11.18392857142857,0.0
371,4,58.04,18.33333333333333,2,1,1,Lost,14.51,15.0
372,13,71.17,21.25,2,3,2,Sleeping,5.474615384615385,0.0
373,59,1385.95,6.137931034482759,5,5,5,Premium,23.490677966101696,0.0
374,17,87.63,19.5,2,4,2,Frugal,5.154705882352941,0.0
375,8,160.46,20.142857142857142,2,2,3,Lost,20.0575,15.0
376,9,111.69,20.375,2,3,2,Sleeping,12.41,0.0
377,4,102.95,21.0,2,1,2,Lost,25.7375,15.0
378,9,143.54999999999998,23.875,1,3,3,Sleeping,15.949999999999998,0.0
379,20,885.6,10.578947368421051,4,4,5,Premium,44.28,0.0
380,13,98.89,14.25,3,3,2,Promising,7.606923076923077,3.6
381,17,1202.6,13.9375,3,4,5,Loyal,70.74117647058823,0.0
382,30,565.1,10.413793103448276,4,5,5,Premium,18.836666666666666,0.0
383,10,310.39,19.88888888888889,2,3,4,Sleeping,31.038999999999998,0.0
384,10,36.76,19.55555555555556,2,3,1,Sleeping,3.6759999999999997,0.0
385,5,95.24,28.75,1,1,2,Lost,19.048,15.0
386,5,113.81,20.5,2,1,2,Lost,22.762,15.0
387,9,47.47,11.5,4,3,1,New,5.274444444444445,0.0
388,11,1.26,23.9,1,3,1,Sleeping,0.11454545454545455,0.0
389,13,576.8,12.5,4,3,5,Loyal,44.36923076923077,0.0
